name,postcode,Latitude,Longitude,date,unit,meter_reading,output,installed_capacity_kw
Building3,BS4 4BJ,51.449884,-2.543708,20/01/14,KWh,11964,32,9.87
Building4,BS10 5SW,51.505877,-2.591633,20/01/14,KWh,28470,70,24
Building0008A,BS10 6DS,51.504689,-2.605997,20/01/14,KWh,18642,52,15.36
Building11,BS3 2QG,51.43333,-2.626644,20/01/14,KWh,4566,3,25.23
Building0008B,BS10 6DS,51.504689,-2.605997,20/01/14,KWh,17229,49,14.61
Building9,BS13 7QB,51.417591,-2.610294,20/01/14,KWh,15524,26,13.2
Building10,BS4 2XG,51.431619,-2.574505,20/01/14,KWh,28165,91,26.95
Building14,BS7 9JT,51.480451,-2.582218,20/01/14,KWh,24073,19,24
Building13,BS2 9US,51.470441,-2.573524,20/01/14,KWh,25536,50,24
Building22,BS7 8LS,51.479561,-2.592992,20/01/14,KWh,8720,13,9.6
Building18,BS7 9PE,51.4839,-2.584825,20/01/14,KWh,9539,9,9.84
Building21,BS2 0SZ,51.447339,-2.568601,20/01/14,KWh,16766,41,19.2
Building27,BS11 9RR,51.489239,-2.681653,20/01/14,KWh,17153,40,16.66
Building50,BS3 3AU,51.438831,-2.606535,20/01/14,KWh,10919,29,9.88
Building19,BS10 6RG,51.512553,-2.611721,20/01/14,KWh,10016,7,9.6
Building17,BS10 7EJ,51.506948,-2.622698,20/01/14,KWh,9539,11,9.6
Building26,BS9 3HZ,51.495713,-2.615068,20/01/14,KWh,10939,22,9.88
Building23,BS5 6TY,51.478995,-2.563724,20/01/14,KWh,10572,20,9.16
Building16,BS14 8PS,51.413462,-2.544973,20/01/14,KWh,12796,0,19.44
Building25,BS13 8RB,51.40836,-2.628359,20/01/14,KWh,24623,48,21.6
Building24,BS2 9UX,51.471334,-2.572916,20/01/14,KWh,18601,39,17.76
Building15,BS1 6RB,51.447321,-2.590272,20/01/14,KWh,10297,17,9.6
Building28,BS1 6RT,51.445976,-2.587736,20/01/14,KWh,9146,18,16.32
Building31,BS3 5NR,51.432436,-2.605198,20/01/14,KWh,23211,42,21.84
Building32,BS11 0UT,51.494761,-2.659508,20/01/14,KWh,7794,12,7.99
Building3,BS4 4BJ,51.449884,-2.543708,19/01/14,KWh,11932,7,9.87
Building4,BS10 5SW,51.505877,-2.591633,19/01/14,KWh,28400,8,24
Building0008A,BS10 6DS,51.504689,-2.605997,19/01/14,KWh,18590,6,15.36
Building11,BS3 2QG,51.43333,-2.626644,19/01/14,KWh,4563,0,25.23
Building0008B,BS10 6DS,51.504689,-2.605997,19/01/14,KWh,17180,5,14.61
Building9,BS13 7QB,51.417591,-2.610294,19/01/14,KWh,15498,5,13.2
Building10,BS4 2XG,51.431619,-2.574505,19/01/14,KWh,28074,18,26.95
Building14,BS7 9JT,51.480451,-2.582218,19/01/14,KWh,24054,11,24
Building13,BS2 9US,51.470441,-2.573524,19/01/14,KWh,25486,15,24
Building22,BS7 8LS,51.479561,-2.592992,19/01/14,KWh,8707,4,9.6
Building18,BS7 9PE,51.4839,-2.584825,19/01/14,KWh,9530,4,9.84
Building21,BS2 0SZ,51.447339,-2.568601,19/01/14,KWh,16725,11,19.2
Building27,BS11 9RR,51.489239,-2.681653,19/01/14,KWh,17113,10,16.66
Building50,BS3 3AU,51.438831,-2.606535,19/01/14,KWh,10890,5,9.88
Building19,BS10 6RG,51.512553,-2.611721,19/01/14,KWh,10009,3,9.6
Building17,BS10 7EJ,51.506948,-2.622698,19/01/14,KWh,9528,3,9.6
Building26,BS9 3HZ,51.495713,-2.615068,19/01/14,KWh,10917,3,9.88
Building23,BS5 6TY,51.478995,-2.563724,19/01/14,KWh,10552,5,9.16
Building16,BS14 8PS,51.413462,-2.544973,19/01/14,KWh,12796,0,19.44
Building25,BS13 8RB,51.40836,-2.628359,19/01/14,KWh,24575,7,21.6
Building24,BS2 9UX,51.471334,-2.572916,19/01/14,KWh,18562,10,17.76
Building15,BS1 6RB,51.447321,-2.590272,19/01/14,KWh,10280,5,9.6
